NAME,C02003_003E,state,zip code tabulation area,GEOID,percent
ZCTA5 75126,35309,48,75126,4875126,35.309
ZCTA5 75132,1476,48,75132,4875132,1.476
ZCTA5 75137,9251,48,75137,4875137,9.251
ZCTA5 75149,36791,48,75149,4875149,36.791
ZCTA5 75150,40815,48,75150,4875150,40.815
ZCTA5 75202,1480,48,75202,4875202,1.48
ZCTA5 75205,22648,48,75205,4875205,22.648
ZCTA5 75214,29454,48,75214,4875214,29.454
ZCTA5 75251,1857,48,75251,4875251,1.857
ZCTA5 75562,144,48,75562,4875562,0.144
ZCTA5 75570,7172,48,75570,4875570,7.172
ZCTA5 75601,12290,48,75601,4875601,12.29
ZCTA5 75638,3331,48,75638,4875638,3.331
ZCTA5 75651,1831,48,75651,4875651,1.831
ZCTA5 75654,10062,48,75654,4875654,10.062
ZCTA5 75704,8316,48,75704,4875704,8.316
ZCTA5 75756,4375,48,75756,4875756,4.375
ZCTA5 75757,10874,48,75757,4875757,10.874
ZCTA5 75760,2136,48,75760,4875760,2.136
ZCTA5 75765,6125,48,75765,4875765,6.125
ZCTA5 75771,18734,48,75771,4875771,18.734
ZCTA5 75773,12121,48,75773,4875773,12.121
ZCTA5 75790,3780,48,75790,4875790,3.78
ZCTA5 75831,4979,48,75831,4875831,4.979
ZCTA5 76251,636,48,76251,4876251,0.636
ZCTA5 76268,268,48,76268,4876268,0.268
ZCTA5 75839,4684,48,75839,4875839,4.684
ZCTA5 75848,122,48,75848,4875848,0.122
ZCTA5 75849,63,48,75849,4875849,0.063
ZCTA5 75858,0,48,75858,4875858,0.0
ZCTA5 75904,25662,48,75904,4875904,25.662
ZCTA5 75932,1555,48,75932,4875932,1.555
ZCTA5 75937,794,48,75937,4875937,0.794
ZCTA5 75956,7435,48,75956,4875956,7.435
ZCTA5 75973,2038,48,75973,4875973,2.038
ZCTA5 75211,66002,48,75211,4875211,66.002
ZCTA5 75449,1099,48,75449,4875449,1.099
ZCTA5 75480,1483,48,75480,4875480,1.483
ZCTA5 75459,4844,48,75459,4875459,4.844
ZCTA5 75468,732,48,75468,4875468,0.732
ZCTA5 75475,148,48,75475,4875475,0.148
ZCTA5 75487,1789,48,75487,4875487,1.789
ZCTA5 75490,2260,48,75490,4875490,2.26
ZCTA5 75503,19102,48,75503,4875503,19.102
ZCTA5 75555,1453,48,75555,4875555,1.453
ZCTA5 75568,2106,48,75568,4875568,2.106
ZCTA5 75975,2868,48,75975,4875975,2.868
ZCTA5 75901,24579,48,75901,4875901,24.579
ZCTA5 75928,306,48,75928,4875928,0.306
ZCTA5 75948,5726,48,75948,4875948,5.726
ZCTA5 75954,2496,48,75954,4875954,2.496
ZCTA5 75960,364,48,75960,4875960,0.364
ZCTA5 75001,8305,48,75001,4875001,8.305
ZCTA5 75013,25758,48,75013,4875013,25.758
ZCTA5 75022,20277,48,75022,4875022,20.277
ZCTA5 75034,73107,48,75034,4875034,73.107
ZCTA5 75040,41560,48,75040,4875040,41.56
ZCTA5 75050,30239,48,75050,4875050,30.239
ZCTA5 75052,48428,48,75052,4875052,48.428
ZCTA5 75061,33757,48,75061,4875061,33.757
ZCTA5 75063,12538,48,75063,4875063,12.538
ZCTA5 75078,19804,48,75078,4875078,19.804
ZCTA5 75081,23023,48,75081,4875081,23.023
ZCTA5 75119,22626,48,75119,4875119,22.626
ZCTA5 75124,3829,48,75124,4875124,3.829
ZCTA5 75146,5313,48,75146,4875146,5.313
ZCTA5 75172,2946,48,75172,4875172,2.946
ZCTA5 75181,15789,48,75181,4875181,15.789
ZCTA5 75206,29989,48,75206,4875206,29.989
ZCTA5 75007,38021,48,75007,4875007,38.021
ZCTA5 75009,10747,48,75009,4875009,10.747
ZCTA5 75020,19126,48,75020,4875020,19.126
ZCTA5 75067,43264,48,75067,4875067,43.264
ZCTA5 75080,38646,48,75080,4875080,38.646
ZCTA5 75090,19154,48,75090,4875090,19.154
ZCTA5 75104,17816,48,75104,4875104,17.816
ZCTA5 75110,19896,48,75110,4875110,19.896
ZCTA5 75140,6985,48,75140,4875140,6.985
ZCTA5 75153,288,48,75153,4875153,0.288
ZCTA5 75159,15163,48,75159,4875159,15.163
ZCTA5 75161,5745,48,75161,4875161,5.745
ZCTA5 75208,25095,48,75208,4875208,25.095
ZCTA5 75219,18794,48,75219,4875219,18.794
ZCTA5 75232,12198,48,75232,4875232,12.198
ZCTA5 75233,9269,48,75233,4875233,9.269
ZCTA5 75248,24421,48,75248,4875248,24.421
ZCTA5 75270,0,48,75270,4875270,0.0
ZCTA5 75412,553,48,75412,4875412,0.553
ZCTA5 75420,831,48,75420,4875420,0.831
ZCTA5 75424,2906,48,75424,4875424,2.906
ZCTA5 75432,3036,48,75432,4875432,3.036
ZCTA5 75442,8633,48,75442,4875442,8.633
ZCTA5 75460,16585,48,75460,4875460,16.585
ZCTA5 75470,434,48,75470,4875470,0.434
ZCTA5 75476,1008,48,75476,4875476,1.008
ZCTA5 75482,20570,48,75482,4875482,20.57
ZCTA5 75044,24623,48,75044,4875044,24.623
ZCTA5 75662,20823,48,75662,4875662,20.823
ZCTA5 75701,26111,48,75701,4875701,26.111
ZCTA5 75709,3318,48,75709,4875709,3.318
ZCTA5 75755,4704,48,75755,4875755,4.704
ZCTA5 75048,16629,48,75048,4875048,16.629
ZCTA5 75068,40378,48,75068,4875068,40.378
ZCTA5 75070,74967,48,75070,4875070,74.967
ZCTA5 75087,30220,48,75087,4875087,30.22
ZCTA5 75092,20778,48,75092,4875092,20.778
ZCTA5 75115,14063,48,75115,4875115,14.063
ZCTA5 75127,1657,48,75127,4875127,1.657
ZCTA5 75142,16994,48,75142,4875142,16.994
ZCTA5 75155,2330,48,75155,4875155,2.33
ZCTA5 75164,492,48,75164,4875164,0.492
